voip-b772dbf437-20130402_143019	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg		
voip-b772dbf437-20130402_143019	1	what kind of food would you like?	request	moderately priced swedish food	inform
voip-b772dbf437-20130402_143019	2	sorry there is no swedish restaurant in the moderate price range	canthelp	how about asian oriental	inform reqalts
voip-b772dbf437-20130402_143019	3	yippee noodle bar is a great restaurant serving asian oriental food and it is in the moderate price range	inform offer	is there anything else	
voip-b772dbf437-20130402_143019	4	can i help you with anything else?	reqmore	could i have the address and phone number	request
voip-b772dbf437-20130402_143019	5	sure , yippee noodle bar is on 40428 king street city centre	inform offer	phone number	request
voip-b772dbf437-20130402_143019	6	the phone number of yippee noodle bar is 01223 518111 .	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_142118	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg	and that well	
voip-b772dbf437-20130402_142118	1	what part of town do you have in mind?	request	centre	inform
voip-b772dbf437-20130402_142118	2	what kind of food would you like?	request	can one	
voip-b772dbf437-20130402_142118	3	what kind of food would you like?	request	can that one	
voip-b772dbf437-20130402_142118	4	what kind of food would you like?	request	ok don't in	inform
voip-b772dbf437-20130402_142118	5	would you like something in the cheap , moderate , or expensive price range?	request	moderate	inform
voip-b772dbf437-20130402_142118	6	yippee noodle bar is a nice place in the centre of town and the prices are moderate	inform offer	is there anything else	reqalts
voip-b772dbf437-20130402_142118	7	cotto is a nice place in the centre of town and the prices are moderate	inform offer	can i get the phone number and	request
voip-b772dbf437-20130402_142118	8	the phone number of cotto is 01223 302010 .	inform offer	price range	request
voip-b772dbf437-20130402_142118	9	cotto is in the moderate price range	inform offer	can i get the phone number and price range	request
voip-b772dbf437-20130402_142118	10	the phone number of cotto is 01223 302010 .	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_141805	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg	that's ok	
voip-b772dbf437-20130402_141805	1	what part of town do you have in mind?	request	cheap part	inform
voip-b772dbf437-20130402_141805	2	let me confirm , you are looking for a restaurant in the cheap price range right?	expl-conf	i don't care about the price range	inform
voip-b772dbf437-20130402_141805	3	what part of town do you have in mind?	request	uh world food	inform
voip-b772dbf437-20130402_141805	4	i'm sorry but there is no restaurant serving world food	canthelp	how about mediterranean food	inform reqalts
voip-b772dbf437-20130402_141805	5	sorry would you like world or mediterranean food?	select	mediterranean food	inform
voip-b772dbf437-20130402_141805	6	the gardenia serves mediterranean food	inform offer	is there anything else	reqalts
voip-b772dbf437-20130402_141805	7	shiraz restaurant serves mediterranean food	inform offer	can i have the address	request
voip-b772dbf437-20130402_141805	8	sure , shiraz restaurant is on 84 regent street city centre	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_141105	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg		
voip-b772dbf437-20130402_141105	1	what part of town do you have in mind?	request	west part of town	inform
voip-b772dbf437-20130402_141105	2	would you like something in the cheap , moderate , or expensive price range?	request	cheap	inform
voip-b772dbf437-20130402_141105	3	la margherita is a nice restaurant in the west of town in the cheap price range	inform offer	do you have another option anything else	reqalts
voip-b772dbf437-20130402_141105	4	thanh binh is a nice restaurant in the west of town in the cheap price range	inform offer	can i have the phone number	request
voip-b772dbf437-20130402_141105	5	the phone number of thanh binh is 01223 362456 .	inform offer	thank you good bye	bye
voip-b772dbf437-20130402_142550	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg		inform
voip-b772dbf437-20130402_142550	1	what part of town do you have in mind?	request	east	inform
voip-b772dbf437-20130402_142550	2	what kind of food would you like?	request	expensive	inform
voip-b772dbf437-20130402_142550	3	what kind of food would you like?	request	any type	inform
voip-b772dbf437-20130402_142550	4	yu garden is a nice place in the east of town and the prices are expensive	inform offer	is there anything else	reqalts
voip-b772dbf437-20130402_142550	5	sitar tandoori is a nice place in the east of town and the prices are expensive	inform offer	can i have the phone number and the type of food	request
voip-b772dbf437-20130402_142550	6	the phone number of sitar tandoori is 01223 249955 .	inform offer	type of food	request
voip-b772dbf437-20130402_142550	7	sitar tandoori serves indian food	inform offer	thank you goodbye	bye
voip-b772dbf437-20130402_141548	0	hello , welcome to the cambridge restaurant system? you can ask for restaurants by area , price range or food type . how may i help you?	welcomemsg	oh well	
voip-b772dbf437-20130402_141548	1	what part of town do you have in mind?	request	the centre of town	inform
voip-b772dbf437-20130402_141548	2	what kind of food would you like?	request	spanish	inform
voip-b772dbf437-20130402_141548	3	would you like something in the cheap , moderate , or expensive price range?	request	it doesn't matter	inform
voip-b772dbf437-20130402_141548	4	la raza is a nice place in the centre of town serving tasty spanish food	inform offer	is there anything else	reqalts
voip-b772dbf437-20130402_141548	5	la tasca is a nice place in the centre of town serving tasty spanish food	inform offer	could you give me the address phone number and post code	request
